Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
sir,3,2,3,0,1.00E-06,2,15,0.1,tanh,25,140,3.71E-05,20.8627727,0.003228445,0.003228445,0.022082843,0.027583864,0.089143642,0.032506725,0.113064371,converge,0.00016862,0.02944379,0.030011083,0.096300689,0.028504337,0.092612025
sir,3,2,3,0,1.00E-06,1,20,0.1,tanh,25,325,0.000153989,30.8636775,0.004219471,0.004219471,0.026373054,0.01017241,0.058742608,0.016355865,0.088805692,converge,0.00027304,0.035164073,0.01437207,0.075707174,0.011811944,0.066493072
sir,3,2,3,0,1.00E-06,2,20,0.1,tanh,25,137,6.95E-05,18.24872994,0.002260293,0.002260293,0.019960603,0.021326032,0.082570624,0.024897331,0.100262828,converge,0.0001601,0.026614137,0.024152613,0.088165035,0.02350442,0.086789182
sir,3,2,3,0.05,1.00E-06,1,10,0.1,tanh,25,256,0.001303292,24.46579146,0.059420219,0.060180638,0.141956471,0.036837344,0.11689602,0.0199657,0.108403611,converge,0.011544905,0.189275295,0.004114958,0.051328662,0.006887745,0.062668442
sir,3,2,3,0.05,1.00E-06,2,10,0.1,tanh,25,403,0.001581124,50.01090312,7.505845001,7.49414266,1.424974115,46.11783393,3.408458238,0.060943076,0.185950511,converge,0.005335948,1.899965486,0.018149788,0.093957671,0.006276669,0.063536075
sir,3,2,3,0.05,1.00E-06,1,15,0.1,tanh,25,391,0.000520352,36.36132073,0.026777584,0.027322208,0.087205686,0.017042413,0.076178814,0.037762285,0.140520333,converge,0.010491463,0.116274248,0.008920103,0.070342634,0.008704383,0.072967037
sir,3,2,3,0.05,1.00E-06,2,15,0.1,tanh,25,504,0.001250661,63.02959061,0.87865468,0.880839962,0.475698663,2.838606647,0.786160237,0.011448613,0.077008057,converge,0.028665392,0.634264884,0.014728909,0.079223114,0.043893666,0.129342202
sir,3,2,3,0.05,1.00E-06,1,20,0.1,tanh,25,537,0.002808309,51.92688155,0.625327516,0.626732084,0.430579654,13.55370576,1.319047169,0.041384859,0.147298206,converge,0.037674206,0.574106205,0.060583923,0.154719254,0.06498579,0.17965788
sir,3,2,3,0.05,1.00E-06,2,20,0.1,tanh,25,399,0.000748694,48.61421275,0.022878747,0.023673577,0.078366431,0.007901101,0.054964299,0.019585495,0.105053225,converge,0.001091612,0.104488575,0.007031843,0.061944325,0.006229017,0.054248008
sir,3,2,3,0.1,1.00E-06,1,10,0.1,tanh,25,259,0.000402048,23.78043175,0.0397002,0.042265148,0.111835497,0.026719418,0.1024206,0.047816864,0.151734439,converge,0.005904177,0.149113996,0.021429404,0.100011255,0.017765009,0.091408364
sir,3,2,3,0.1,1.00E-06,2,10,0.1,tanh,25,212,0.000221953,41.34070635,0.036504511,0.039212039,0.108474918,0.01442304,0.079798965,0.025853805,0.120046285,converge,0.002284299,0.144633224,0.01135699,0.075409485,0.009682015,0.068769624
sir,3,2,3,0.1,1.00E-06,1,15,0.1,tanh,25,193,0.000249928,23.1063776,0.029815774,0.032395207,0.094532514,0.016392884,0.081357038,0.027681755,0.121399731,converge,0.001718196,0.126043352,0.01095422,0.076563001,0.009282493,0.072373906
sir,3,2,3,0.1,1.00E-06,2,15,0.1,tanh,25,504,0.001283654,62.36756778,0.203735578,0.204696698,0.257902004,0.163867349,0.264486313,0.069165073,0.183646458,converge,0.064939702,0.343869339,0.01905822,0.102825536,0.044349648,0.142856484
sir,3,2,3,0.1,1.00E-06,1,20,0.1,tanh,25,432,0.003675321,38.61576676,0.063570397,0.067073796,0.152637747,0.043909191,0.145029096,0.030238888,0.124192735,converge,0.010805971,0.203516995,0.022022645,0.107714988,0.025753598,0.128751332
sir,3,2,3,0.1,1.00E-06,2,20,0.1,tanh,25,287,6.41E-05,34.48109198,0.026736152,0.028707708,0.090516287,0.013280129,0.074814881,0.023277322,0.110835874,converge,0.000450413,0.120688383,0.010943956,0.077640332,0.008825423,0.069688212
sir,5,4,3,0,1.00E-06,1,10,0.1,tanh,25,133,0.000103513,31.79661059,0.13921376,0.139213753,0.18594085,0.373983843,0.269370111,0.006130957,0.044125933,converge,8.17E-05,0.247921134,0.001357335,0.021235118,0.001175865,0.019329863
sir,5,4,3,0,1.00E-06,2,10,0.1,tanh,25,233,0.000211949,76.51516628,2.984076677,2.984076742,0.809826853,42.15688726,2.649342153,0.005763484,0.048114093,converge,0.000344997,1.079769137,0.003669396,0.035155865,0.002692285,0.028139519
sir,5,4,3,0,1.00E-06,1,15,0.1,tanh,25,216,0.000326158,51.25516486,0.957723606,0.957723592,0.438749966,15.51389131,1.467754256,0.008849589,0.061404047,converge,0.00058505,0.584999955,0.008215614,0.056288705,0.005444407,0.040212098
