dBdt,dSdt,dPdt,dVdt,t,Run
0.43220827,-4.6395144,0.15424107,0.11000001,48.0,5
0.07916385,-4.264426,0.15873176,0.11000001,51.0,5
-0.2499167,-3.9009798,0.16332893,0.11000001,54.0,5
-0.55325,-3.5516486,0.16794524,0.11000001,57.0,5
-0.8298341,-3.2181704,0.1724234,0.11000001,60.0,5
-1.079224,-2.9018092,0.17655312,0.11000001,63.0,5
-1.301368,-2.6035655,0.18009546,0.11000001,66.0,5
-1.4965267,-2.3242142,0.18280403,0.11000001,69.0,5
-1.6651815,-2.0643723,0.18444714,0.11000001,72.0,5
-1.8080387,-1.8245088,0.18482864,0.11000001,75.0,5
-1.9259789,-1.6049057,0.18380038,0.11000001,78.0,5
-2.020077,-1.4056476,0.18127605,0.11000001,81.0,5
-2.0915756,-1.2265857,0.17723145,0.11000001,84.0,5
-2.1418688,-1.0673648,0.17170814,0.11000001,87.0,5
-2.172507,-0.9273817,0.16480389,0.11000001,90.0,5
-2.1851172,-0.80581886,0.15666415,0.11000001,93.0,5
-2.181421,-0.70166403,0.14747207,0.11000001,96.0,5
-2.163158,-0.61379385,0.13743411,0.11000001,99.0,5
-2.1320803,-0.5409177,0.12676784,0.11000001,102.0,5
-2.0898864,-0.48170304,0.11569153,0.11000001,105.0,5
-2.0382323,-0.43477157,0.10441485,0.11000001,108.0,5
-1.9786857,-0.39874947,0.09313111,0.11000001,111.0,5
-1.9126949,-0.37228757,0.08201149,0.11000001,114.0,5
-1.8416002,-0.35409755,0.0712059,0.11000001,117.0,5
-1.7666165,-0.34294805,0.060836207,0.11000001,120.0,5
-1.6888459,-0.33771577,0.05100027,0.11000001,123.0,5
-1.6092513,-0.3373452,0.041771974,0.11000001,126.0,5
-1.5286756,-0.3409037,0.033203017,0.11000001,129.0,5
-1.4478658,-0.34751838,0.025324365,0.11000001,132.0,5
-1.3674481,-0.35645556,0.018150462,0.11000001,135.0,5
-1.287957,-0.36703864,0.01168182,0.11000001,138.0,5
-1.2098348,-0.37868866,0.005906818,0.11000001,141.0,5
-1.1334449,-0.3909242,0.0008043431,0.11000001,144.0,5
-1.0590799,-0.40330967,-0.003654017,0.11000001,147.0,5
-0.9869734,-0.41550112,-0.007502899,0.11000001,150.0,5
-0.91730195,-0.42719588,-0.010778669,0.11000001,153.0,5
-0.85019416,-0.43814638,-0.013520577,0.11000001,156.0,5
-0.7857361,-0.44817948,-0.015769934,0.11000001,159.0,5
-0.7239828,-0.45713395,-0.017567402,0.11000001,162.0,5
-0.6649482,-0.4648911,-0.018952124,0.11000001,165.0,5
-0.6086349,-0.47138166,-0.019964585,0.11000001,168.0,5
-0.55501574,-0.47654608,-0.020640695,0.11000001,171.0,5
-0.5040521,-0.48035213,-0.021015678,0.11000001,174.0,5
-0.4556901,-0.48278323,-0.021123327,0.11000001,177.0,5
-0.40985638,-0.4838497,-0.02099416,0.11000001,180.0,5
-0.36647594,-0.48357335,-0.02065644,0.11000001,183.0,5
-0.32547507,-0.48197645,-0.020137262,0.11000001,186.0,5
-0.28676257,-0.4790979,-0.01945988,0.11000001,189.0,5
-0.25024778,-0.47499302,-0.018645706,0.11000001,192.0,5
-0.21583992,-0.4696962,-0.017715648,0.11000001,195.0,5
-0.18344694,-0.46327713,-0.01668714,0.11000001,198.0,5
-7.313357,293.96066,0.16350706,0.11000001,0.0,6
1.7010124,35.168743,0.012894282,0.11000001,3.0,6
2.781683,7.7515607,-0.008201246,0.11000001,6.0,6
3.0633311,-0.18254077,-0.0037761345,0.11000001,9.0,6
3.133718,-3.3179975,0.014596424,0.11000001,12.0,6
3.138211,-4.7600007,0.039294638,0.11000001,15.0,6
3.1013837,-5.4792776,0.064293325,0.11000001,18.0,6
3.0134878,-5.830179,0.08631709,0.11000001,21.0,6
2.8671663,-5.9598446,0.10432743,0.11000001,24.0,6
2.6651418,-5.9418736,0.11849212,0.11000001,27.0,6
2.4171896,-5.8209815,0.12945849,0.11000001,30.0,6
2.135859,-5.6280446,0.13797386,0.11000001,33.0,6
1.8336624,-5.385709,0.14472453,0.11000001,36.0,6
1.5215758,-5.1108403,0.15027316,0.11000001,39.0,6
1.2086226,-4.816042,0.15504678,0.11000001,42.0,6
0.9018282,-4.5106845,0.15934297,0.11000001,45.0,6
0.60646963,-4.2017136,0.16334186,0.11000001,48.0,6
0.32637793,-3.894299,0.16712022,0.11000001,51.0,6
0.064226024,-3.592305,0.17066833,0.11000001,54.0,6
-0.17818163,-3.298665,0.17390439,0.11000001,57.0,6
-0.39971024,-3.0156624,0.17669705,0.11000001,60.0,6
-0.59974456,-2.745093,0.17888005,0.11000001,63.0,6
-0.77802205,-2.4884229,0.18027662,0.11000001,66.0,6
-0.93461835,-2.2468114,0.18071595,0.11000001,69.0,6
-1.0698389,-2.0211792,0.18005085,0.11000001,72.0,6
-1.1842083,-1.8122084,0.17817128,0.11000001,75.0,6
-1.2784545,-1.6203215,0.17501558,0.11000001,78.0,6
-1.3534768,-1.4456843,0.17057064,0.11000001,81.0,6
-1.4103469,-1.2882195,0.16487855,0.11000001,84.0,6
-1.4502602,-1.1476053,0.15802602,0.11000001,87.0,6
-1.4745231,-1.0232953,0.15014143,0.11000001,90.0,6
-1.4845166,-0.9145418,0.14138253,0.11000001,93.0,6
-1.4816779,-0.8204504,0.1319291,0.11000001,96.0,6
-1.4674466,-0.73995984,0.12196899,0.11000001,99.0,6
