tB,tS,tP,tV,t,Run
51.02719,408.06143,0.6854562,1.8500003,15.0,7
60.790012,398.92117,0.78088456,2.1800003,18.0,7
70.2133,386.58878,0.92703044,2.5100005,21.0,7
79.39973,370.9031,1.1125524,2.8400006,24.0,7
88.41363,351.8526,1.3290509,3.1700003,27.0,7
97.26907,329.6224,1.5703931,3.5,30.0,7
105.91771,304.6157,1.8330615,3.83,33.0,7
114.23609,277.48132,2.1172009,4.1600003,36.0,7
122.013115,249.14992,2.4282804,4.4900007,39.0,7
128.94182,220.86906,2.7788262,4.8200006,42.0,7
134.62642,194.19844,3.1890483,5.150001,45.0,7
138.62526,170.88075,3.683818,5.4800014,48.0,7
140.5548,152.47008,4.2830772,5.8100014,51.0,7
140.25497,139.68407,4.985809,6.140001,54.0,7
137.94519,131.79547,5.7568655,6.4700003,57.0,7
134.22902,126.74478,6.5337334,6.8,60.0,7
129.87054,122.26492,7.2579017,7.1299996,63.0,7
125.491745,117.104195,7.9050846,7.46,66.0,7
121.43145,111.23257,8.486102,7.7900004,69.0,7
117.80326,105.21495,9.025557,8.120001,72.0,7
114.609406,99.62383,9.543618,8.450001,75.0,7
111.81195,94.82538,10.050437,8.780002,78.0,7
109.35833,90.9806,10.548282,9.110002,81.0,7
107.187546,88.09752,11.035393,9.440002,84.0,7
105.23258,86.07806,11.508999,9.770002,87.0,7
103.42333,84.75801,11.967048,10.100002,90.0,7
101.68922,83.93876,12.408828,10.430003,93.0,7
99.9608,83.410385,12.834821,10.760003,96.0,7
98.17007,82.96551,13.246198,11.090004,99.0,7
96.249245,82.404495,13.644091,11.420005,102.0,7
94.12978,81.53606,14.028677,11.750006,105.0,7
91.7425,80.17835,14.398018,12.080007,108.0,7
89.02126,78.16592,14.746554,12.410007,111.0,7
85.913895,75.370125,15.063292,12.740008,114.0,7
82.403366,71.739296,15.330314,13.070009,117.0,7
78.53968,67.353455,15.523218,13.40001,120.0,7
74.46978,62.467987,15.616058,13.730011,123.0,7
70.43545,57.493713,15.592134,14.060012,126.0,7
66.710945,52.886307,15.456291,14.390014,129.0,7
63.50025,48.997063,15.2386875,14.720015,132.0,7
60.867798,45.98682,14.984215,15.050015,135.0,7
58.752518,43.841465,14.734958,15.380016,138.0,7
57.03426,42.4413,14.518322,15.710017,141.0,7
55.593193,41.62962,14.345495,16.040018,144.0,7
54.33668,41.257324,14.2161875,16.37002,147.0,7
53.20182,41.203125,14.124354,16.70002,150.0,7
52.148586,41.376865,14.0622425,17.030022,153.0,7
51.152245,41.714664,14.022548,17.360022,156.0,7
50.19754,42.172585,13.999233,17.690023,159.0,7
49.2749,42.720463,13.987669,18.020023,162.0,7
